Storm type,Date_Time,Year,Latitude,Longitude,State,Feature,Measure,Number of deaths,Number of injuries,TYPE2
hail,11/12/1996 5:30,1996,-32.57,151.16,NSW,Hail size (cm),7,1,6,hail
hail,12/11/1997 8:15,1997,-29.68,152.93,NSW,Hail size (cm),7,0,1,hail
hail,30/11/1997 5:00,1997,-28.81,153.26,NSW,Hail size (cm),4,0,3,hail
hail,30/11/1997 5:30,1997,-28.86,153.57,NSW,Hail size (cm),5,0,3,hail
hail,27/10/1981 7:30,1981,-36.3,143.3,VIC,Hail size (cm),4,0,1,hail
hail,6/04/1987 8:00,1987,-36.4,145,VIC,Hail size (cm),0,0,2,hail
hail,16/11/1989 8:00,1989,-37.57,143.85,VIC,Hail size (cm),4,0,8,hail
hail,22/12/1990 8:40,1990,-37.82,144.97,VIC,Hail size (cm),2,0,5,hail
hail,12/10/1995 6:22,1995,-38.25,143.98,VIC,Hail size (cm),2,0,1,hail
hail,10/11/1997 4:00,1997,-35.74,139.76,SA,Hail size (cm),3,0,2,hail
hail,10/11/1997 4:45,1997,-36.2,140.33,SA,Hail size (cm),2,0,2,hail
hail,10/11/1997 5:20,1997,-36.31,140.77,SA,Hail size (cm),4,0,2,hail
hail,8/12/1999 3:20,1999,-33.78,137.75,SA,Hail size (cm),2.5,0,2,hail
hail,8/12/1999 3:45,1999,-33.74,138.11,SA,Hail size (cm),4,0,2,hail
hail,8/12/1999 3:50,1999,-33.73,138.21,SA,Hail size (cm),4,0,2,hail
hail,8/12/1999 4:05,1999,-33.7,138.4,SA,Hail size (cm),4,0,2,hail
hail,8/12/1999 4:40,1999,-33.68,138.84,SA,Hail size (cm),3,0,2,hail
hail,16/02/2003 22:30,2003,-28.7,121.1,WA,Hail size (cm),4.5,0,1,hail
hail,17/10/2005 6:00,2005,-25.25,131,NT,Hail size (cm),1,0,40,hail
lightning,23/04/1983 4:00,1983,-38,142.5,VIC,N / A,,1,22,lightning
lightning,8/11/1983 2:30,1983,-37.8,145,VIC,N / A,,0,1,lightning
lightning,27/11/1983 3:00,1983,-37.82,144.97,VIC,N / A,,0,1,lightning
lightning,13/12/1984 0:00,1984,-37.8,145,VIC,N / A,,0,1,lightning
lightning,6/03/1996 4:30,1996,-36.77,144.27,VIC,N / A,,1,7,lightning
lightning,26/01/1997 22:30,1997,-38.09,144.34,VIC,N / A,,2,4,lightning
lightning,2/02/1998 5:00,1998,-38.09,144.34,VIC,N / A,,0,2,lightning
lightning,24/12/1998 6:00,1998,-38.5,145.3,VIC,N / A,,1,5,lightning
lightning,11/02/1999 23:00,1999,-37.82,144.97,VIC,N / A,,0,1,lightning
lightning,24/01/2001 4:30,2001,-37.82,144.97,VIC,N / A,,0,2,lightning
lightning,6/01/1993 5:30,1993,-27.62,152.76,QLD,N / A,,0,1,lightning
lightning,11/01/1988 0:00,1988,-41.06,145.95,TAS,N / A,,0,1,lightning
rain,23/11/1996 6:00,1996,-30.32,153.12,NSW,Intense precipitation amount (mm),54,1,4,rain
rain,27/11/1983 3:00,1983,-37.82,144.97,VIC,Intense precipitation amount (mm),0,0,1,rain
rain,12/10/1995 6:22,1995,-38.25,143.98,VIC,Intense precipitation amount (mm),0,0,1,rain
rain,16/03/1982 0:00,1982,-41.41,147.12,TAS,Intense precipitation amount (mm),8,0,1,rain
rain,11/11/1984 6:00,1984,-42.88,147.33,TAS,Intense precipitation amount (mm),22,0,1,rain
wind,20/11/1994 4:45,1994,-32.0592,148.2533,NSW,Max Gust speed (km/hr),75,0,1,wind
wind,20/11/1994 6:00,1994,-33.9411,151.1725,NSW,Max Gust speed (km/hr),72,0,1,wind
wind,8/02/1996 6:30,1996,-32.3,148.6,NSW,Max Gust speed (km/hr),63,0,20,wind
wind,16/11/1996 8:50,1996,-34.64,143.56,NSW,Max Gust speed (km/hr),50,0,2,wind
wind,16/11/1997 2:30,1997,-29.68,152.93,NSW,Max Gust speed (km/hr),86,0,6,wind
wind,5/01/1998 4:15,1998,-31.57,147.2,NSW,Max Gust speed (km/hr),60,0,1,wind
wind,2/12/2005 3:43,2005,-33.382,148.001,NSW,Max Gust speed (km/hr),62,0,1,wind
wind,2/12/2005 4:10,2005,-33.91,148.195,NSW,Max Gust speed (km/hr),0,0,1,wind
wind,9/01/1981 9:00,1981,-38.2,144.4,VIC,Max Gust speed (km/hr),168,0,6,wind
wind,27/10/1981 7:30,1981,-36.3,143.3,VIC,Max Gust speed (km/hr),0,0,1,wind
wind,14/02/1982 1:00,1982,-37.6,142.3,VIC,Max Gust speed (km/hr),0,0,1,wind
wind,14/05/1983 9:30,1983,-37.8,145,VIC,Max Gust speed (km/hr),117,0,2,wind
wind,8/11/1983 2:30,1983,-37.8,145,VIC,Max Gust speed (km/hr),115,0,1,wind
wind,6/04/1987 8:00,1987,-36.4,145,VIC,Max Gust speed (km/hr),0,0,2,wind
wind,12/10/1995 6:22,1995,-38.25,143.98,VIC,Max Gust speed (km/hr),0,0,1,wind
wind,30/11/1991 7:30,1991,-28,153.4,QLD,Max Gust speed (km/hr),55,0,1,wind
wind,29/11/1992 3:00,1992,-25.53,152.78,QLD,Max Gust speed (km/hr),0,0,1,wind
wind,20/01/1995 14:50,1995,-25.29,152.8178,QLD,Max Gust speed (km/hr),0,0,5,wind
wind,28/10/1992 5:45,1992,-34.24,140.56,SA,Max Gust speed (km/hr),0,0,1,wind
wind,28/10/1992 5:45,1992,-34.27,140.53,SA,Max Gust speed (km/hr),0,0,1,wind
wind,26/01/1995 4:30,1995,-33.93,137.63,SA,Max Gust speed (km/hr),0,0,2,wind
wind,26/01/1995 5:00,1995,-34.27,138,SA,Max Gust speed (km/hr),51,0,2,wind
wind,26/01/1995 5:40,1995,-34.58,138.52,SA,Max Gust speed (km/hr),0,0,13,wind
wind,26/01/1995 5:50,1995,-34.7,138.62,SA,Max Gust speed (km/hr),63,0,13,wind
wind,26/01/1995 6:00,1995,-34.8,138.63,SA,Max Gust speed (km/hr),55,0,13,wind
wind,26/01/1995 6:10,1995,-34.95,138.53,SA,Max Gust speed (km/hr),56,0,13,wind
wind,26/01/1995 6:15,1995,-34.93,138.82,SA,Max Gust speed (km/hr),75,0,13,wind
wind,14/01/1997 5:30,1997,-34.758,139.065,SA,Max Gust speed (km/hr),0,0,1,wind
wind,26/12/2002 4:00,2002,-30.9,117.9,WA,Max Gust speed (km/hr),0,1,1,wind
wind,26/12/2002 8:00,2002,-30.89,116.73,WA,Max Gust speed (km/hr),95,1,1,wind
wind,3/07/1992 2:00,1992,-41.41,147.12,TAS,Max Gust speed (km/hr),54,0,2,wind
wind,20/11/2001 8:00,2001,-12.6,131.1,NT,Max Gust speed (km/hr),69,0,1,wind
wind,26/11/2003 5:00,2003,-12.48,130.98,NT,Max Gust speed (km/hr),55,0,1,wind
wind,28/10/2008 3:03,2008,-34.375,115.1364,WA,Max Gust speed (km/hr),55,0,1,wind
wind,28/10/2008 0:19,2008,-33.9492,120.1242,WA,Max Gust speed (km/hr),52,0,1,wind
wind,28/07/2014 7:35,2014,-41.065,145.96,TAS,Max Gust speed (km/hr),0,0,1,wind
